id;create_date;update_date;title;slogan;description;home_page;latitude;longitude;address;costmin;costmax
1;2021-04-08T13:05:57;2021-04-08T16:03:54;deposit Plastic direzionale;Berkshire Cotton;espansa;"-i2.j.ijspW6IWau/";Bedfordshire;bypassing Steel Granite;Interactions;59627;52117
2;2021-04-08T17:05:31;2021-04-08T10:03:42;Brescia;Collaborazione PCI withdrawal;Account optical;"http://7wl.s.dyF7y6c8";Guinea-Bissau;Kwanza visionaria;withdrawal;68225;80920
3;2021-04-09T04:07:01;2021-04-08T10:19:55;Fantastic;compressing Shirt Metal;sistemi;"pol.hstatnV7jQ6DqEn7RI3YRCn/";Metrics;Latvian B2B sistemi;magnetiche composita back;87159;56013
4;2021-04-09T08:54:51;2021-04-08T21:13:07;Collaborazione;Planner;Account primary circuit;"http://of.g..vK5Fg/";tan del calculate;Engineer;Guinea Plastic;5241;11135
5;2021-04-09T07:48:08;2021-04-08T17:06:08;Handcrafted Trieste;ottimizzante Agent;invoice bluetooth;"res8c.wthzyaS";Angola Chicken;olive;Tanzania strategiche;10360;11520
6;2021-04-09T01:27:07;2021-04-09T06:18:44;monitor pixel Via;Chief Data;Program automatizzata;"https://oxcoib.rfAlemwlUMd q/";Loan;Moderazione Fresh;haptic;37508;67875
7;2021-04-09T06:47:02;2021-04-08T13:38:14;payment compressing;bluetooth ore Chair;Plastic parsing Contingenza;"https://7.ehldlagPRK2";Usability;sesta;Carbonia-Iglesias;98217;38418
8;2021-04-08T11:53:59;2021-04-08T20:00:08;Berkshire Granite;Baby IB Unbranded;Handmade up Buckinghamshire;"https://z.ln61..fmgvAU/hXa/";Rustic Account supply-chains;RAM Berkshire Implementation;HTTP Unbranded;43503;55916
9;2021-04-08T10:23:55;2021-04-08T22:46:48;discreta Mobility;invoice Rubber;Ascoli Loan;"wooay7.emoaog18/";National Steel;Dinar Ucraina Tasty;strategiche B2B Central;18402;31512
10;2021-04-09T07:27:43;2021-04-08T14:42:31;indigo;calculate capacitor black;Internal architetture;"6wthw1.dqqcvu";bandwidth strategici Rustic;implementate Supervisor;Central Infrastructure;56591;38305
