id;nickname;slogan;description;home_page;latitude;longitude;address;services
1;navigating;invoice synthesize Sleek Steel Ball;eco-centric;Senior payment;upward-trending Fully-configurable;matrix Fantastic Granite Fish;Grocery;Upgradable Club
2;Riel Bolivar Fuerte magenta;Kazakhstan;Concrete Rustic Frozen Car;global program reintermediate;Shoals Freeway programming;Money Market Account;Coordinator;Configuration Solomon Islands Dollar
3;Markets;interface;Rustic Soft Sausages;synthesize;Cayman Islands Dollar Games Industrial;Direct bi-directional;ADP Representative;Legacy
4;Tasty Granite Cheese Branding Harbors;Tasty Administrator deploy;Metal Kansas FTP;Home Loan Account synthesizing modular;open-source New Taiwan Dollar;killer microchip;Planner Small;orchid Direct
5;quantify Assistant;Refined Frozen Pants Savings Account Tactics;Pants Specialist Metal;Direct Investment Account dot-com;Automotive program;Generic Fresh Tuna Shoes neural;Borders circuit;Mission e-business
6;web-readiness feed;Tasty Plastic Chips;mint green;open-source innovate;multi-state stable Montana;Prairie;systems Frozen;quantify PNG invoice
7;Cordoba Oro Toys coherent;Fresh;Factors Dynamic driver;compressing FTP Washington;Forward;Right-sized;Plains;synthesize
8;metrics Mauritius Rupee;Grocery;bypassing;Stream Isle;Innovative;Ports Virtual;Generic Cotton Salad Borders;ability Niger
9;Strategist Ergonomic Cotton Chicken clicks-and-mortar;Kina intangible;Communications;Agent wireless calculating;Oregon Rustic Central;discrete help-desk Cambridgeshire;Dominican Peso Fords Metal;Unions
10;intangible payment Cheese;24/7 database Games;Virginia International;Branch;Applications Industrial;Auto Loan Account Refined Louisiana;hard drive copy magenta;Home Loan Account
